probe,instruction,qty_instructions
Выбор из 2 альтернатив,"images/Инструкции/Зонды/WM/Выбор из 2 альтернатив.png", one
Обновление,"images/Инструкции/Зонды/WM/Обновление.png", one
Переключение,"images/Инструкции/Зонды/WM/Переключение.png", one
Торможение,"images/Инструкции/Зонды/WM/Торможение.png", one
Выбор из 2 альтернатив,"images/Инструкции/Зонды/Insight/Выбор из 2 альтернатив.png", two
Обновление,"images/Инструкции/Зонды/Insight/Обновление.png", two
Переключение,"images/Инструкции/Зонды/Insight/Переключение.png", two
Торможение,"images/Инструкции/Зонды/Insight/Торможение.png", two
